[2025-07-18 13:56:41 : INFO] - Cache for URL: https://nesdia.com/ has been purged, triggered by action: save_post 
[2025-07-18 16:05:03 : INFO] - Cache for URL: https://nesdia.com/reports/ has been purged, triggered by action: save_post 
[2025-07-18 16:57:13 : INFO] - Cache for URL: https://nesdia.com/ has been purged, triggered by action: save_post 
[2025-07-18 16:57:13 : INFO] - Cache for URL: https://nesdia.com/ has been purged, triggered by action: save_post 
[2025-07-21 05:10:19 : INFO] - Cache for URL: https://nesdia.com/solutions/ has been purged, triggered by action: save_post 
[2025-07-21 05:10:19 : INFO] - Cache for URL: https://nesdia.com/solutions/ has been purged, triggered by action: save_post 
[2025-07-27 09:21:00 : INFO] - Cache for URL: https://nesdia.com/?p=713 has been purged, triggered by action: save_post 
[2025-07-27 09:21:00 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 713 has been purged, triggered by action: save_post 
[2025-07-27 09:21:00 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-07-27 09:56:28 : INFO] - Cache for URL: https://nesdia.com/?p=714 has been purged, triggered by action: save_post 
[2025-07-27 09:56:28 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 09:56:28 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 09:57:29 : INFO] - Cache for URL: https://nesdia.com/?p=714 has been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "" have been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 09:57:29 : INFO] - Cache for URL: https://nesdia.com/?p=714 has been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 09:57:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "" have been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 09:58:35 : INFO] - Cache for URL: https://nesdia.com/?p=714 has been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 09:58:35 : INFO] - Cache for URL: https://nesdia.com/?p=714 has been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 09:58:35 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 10:00:41 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 10:00:42 : INFO] - Cache for URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/ has been purged, triggered by action: save_post 
[2025-07-27 10:00:42 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 10:00:42 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 10:00:42 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 10:00:42 : INFO] - Cache for URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/ has been purged, triggered by action: save_post 
[2025-07-27 10:00:42 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 10:00:42 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 10:00:59 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 10:01:00 : INFO] - Cache for URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/ has been purged, triggered by action: save_post 
[2025-07-27 10:01:00 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 10:01:00 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 10:01:00 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 10:01:00 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-27 10:01:00 : INFO] - Cache for URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/ has been purged, triggered by action: save_post 
[2025-07-27 10:01:00 : INFO] - Cache for previous post (with URL: https://nesdia.com/global-language-extinction-historical-trends-and-consequences/) adjacent to post with id: 714 has been purged, triggered by action: save_post 
[2025-07-27 10:01:00 : INFO] - Cache for all archives page associated with post_type: post and Title: "The Vital Link: How Language Preserves Blackfeet Culture" have been purged, triggered by action: save_post 
[2025-07-27 22:42:47 : INFO] - Cache for URL: https://nesdia.com/labs/ has been purged, triggered by action: save_post 
[2025-07-27 22:42:48 : INFO] - Cache for URL: https://nesdia.com/labs/ has been purged, triggered by action: save_post 
[2025-07-27 22:43:08 : INFO] - Cache for URL: https://nesdia.com/labs/ has been purged, triggered by action: save_post 
[2025-07-27 22:43:08 : INFO] - Cache for URL: https://nesdia.com/labs/ has been purged, triggered by action: save_post 
[2025-07-29 11:53:09 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:53:09 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:53:09 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:21 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:21 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:21 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:54:25 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:25 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:25 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:25 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:54:25 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:26 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:26 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:26 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:26 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:47 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:54:47 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:54:47 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:59:19 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 11:59:19 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 11:59:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 12:03:09 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 12:03:09 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 12:03:09 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 12:03:09 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 12:03:10 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 12:03:10 : INFO] - Cache for URL: https://nesdia.com/?p=725 has been purged, triggered by action: save_post 
[2025-07-29 12:03:10 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 12:03:10 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 12:18:22 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 12:18:22 : INFO] - Cache for URL: https://nesdia.com/reimagining-epigraphy-and-language-preservation-aeneas-and-nesdias-holistic-approach/ has been purged, triggered by action: save_post 
[2025-07-29 12:18:22 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 12:18:22 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-07-29 12:18:23 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-29 12:18:23 : INFO] - Cache for URL: https://nesdia.com/reimagining-epigraphy-and-language-preservation-aeneas-and-nesdias-holistic-approach/ has been purged, triggered by action: save_post 
[2025-07-29 12:18:23 : INFO] - Cache for previous post (with URL: https://nesdia.com/the-vital-link-how-language-preserves-blackfeet-culture/) adjacent to post with id: 725 has been purged, triggered by action: save_post 
[2025-07-29 12:18:23 : INFO] - Cache for all archives page associated with post_type: post and Title: "Reimagining Epigraphy and Language Preservation: Aeneas and Nesdia’s Holistic Approach" have been purged, triggered by action: save_post 
[2025-08-06 08:31:16 : INFO] - Cache for URL: https://nesdia.com/?p=730 has been purged, triggered by action: save_post 
[2025-08-06 08:31:16 : INFO] - Cache for previous post (with URL: https://nesdia.com/reimagining-epigraphy-and-language-preservation-aeneas-and-nesdias-holistic-approach/) adjacent to post with id: 730 has been purged, triggered by action: save_post 
[2025-08-06 08:31:16 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-08-06 08:33:02 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
